         DIMENSIONS OF WELDED AND SEAMLESS TEE (¥‹¿ß;lbs)
TEE
+-----+------+-----+-----+-----+-----+-----+-----+-----+-----+-----+------+------+
|PIPE | OUT- | SCH.| SCH.| SCH.| SCH.| SCH.| SCH.| SCH.| SCH.| SCH.| SCH. | SCH. |
|  1  | 33.40|     |     |  0.4|  0.4|     |  0.5|  0.5|     |     |  0.6 |  0.8 |
|1.25 | 42.16|     |     |  0.6|  0.6|     |  0.9|  0.9|     |     |  1.0 |  1.4 |
| 1.5 | 48.26|     |     |  0.9|  0.9|     |  1.2|  1.2|     |     |  1.4 |  1.9 |
|  2  | 60.33|     |     |  1.6|  1.6|     |  2.2|  2.2|     |     |  3.3 |  3.5 |
| 2.5 | 73.03|     |     |  3.3|  3.3|     |  4.0|  4.0|     |     |  5.1 |  7.0 |
|  3  | 88.90|     |     |  5.0|  5.0|     |  6.5|  6.5|     |     |  8.5 | 11.0 |
| 3.5 |101.60|     |     |  6.8|  6.8|     |  8.4|  8.4|     |     |      | 16.0 |
|  4  |114.30|     |     |  9.0|  9.0|     | 13.5| 13.5|     | 15.6| 18.0 | 20.0 |
|  5  |141.30|     |     | 15.5| 15.5|     | 22.0| 22.0|     | 27.8| 32.0 | 36.0 |
|  6  |168.28|     |     | 24.5| 24.5|     | 35.0| 35.0|     | 45.2| 57.0 | 65.0 |
|  8  |219.08| 36.5| 40.9| 50.0| 50.0| 58.0| 71.0| 71.0|  84 |100.8| 120  | 118  |
| 10  |273.05| 56.8| 71.4| 88  | 88  |     | 133 | 107 | 159 | 185 | 260  |      |
| 12  |323.85| 82  | 108 | 132 | 125 | 182 | 219 | 160 | 268 | 311 | 450  |      |
| 14  |355.60| 132 |     | 183 | 160 | 245 | 310 | 205 |     | 425 | 572  |      |
| 16  |406.40| 172 | 206 | 276 | 206 | 355 | 450 | 276 |     |     | 809  |      |
| 18  |457.20| 219 | 308 | 390 | 260 | 494 | 634 | 340 |     |     |      |      |
| 20  |508.00| 320 | 420 | 506 | 320 | 690 | 861 | 420 |     |     |      |      |
| 22  |558.80| 394 | 520 |     | 394 |     |     | 520 |     |     |      |      |
| 24  |609.60| 460 | 702 | 846 | 460 |1188 |1470 | 600 |     |     |      |      |
+-----+------+-----+-----+-----+-----+-----+-----+-----+-----+-----+------+------+
| 26  |660.40| 550 |     |     | 550 |     |     | 729 |     |     |      |      |
| 30  |762.00| 734 |     |     | 734 |     |     | 975 |     |     |      |      |
+-----+------+-----+-----+-----+-----+-----+-----+-----+-----+-----+------+------+

90S
+-----+------+-----+-----+-----+-----+-----+-----+-----+-----+-----+------+------+
|PIPE | OUT- | SCH.| SCH.| SCH.| SCH.| SCH.| SCH.| SCH.| SCH.| SCH.| SCH. | SCH. |
|SIZE | SIDE |  20 |  30 |  40 | STD |  60 |  80 |  XS | 100 | 120.| 160  | XXS  |  
+-----+------+-----+-----+-----+-----+-----+-----+-----+-----+-----+------+------+
| 0.5 | 21.34|     |     |     |     |     |     |     |     |     |      |      |
|0.75 | 26.67|     |     |     |     |     |     |     |     |     |      |      |
|  1  | 33.40|     |     |  0.3|  0.3|     |     |     |     |     |  0.4 |  0.5 |
|1.25 | 42.16|     |     |  0.4|  0.4|     |     |     |     |     |  0.7 |  0.9 |
| 1.5 | 48.26|     |     |  0.6|  0.6|     |  0.8|  0.8|     |     |  1.2 |  1.0 |
|  2  | 60.33|     |     |  1.0|  1.0|     |  1.5|  1.5|     |     |  2.2 |  2.3 |
| 2.5 | 73.03|     |     |  2.1|  2.1|     |  2.8|  2.8|     |     |  3.4 |  5.0 |
|  3  | 88.90|     |     |  3.0|  3.0|     |  4.3|  4.3|     |     |  6.0 |  7.3 |
